"","to","sim"
"SBS1","Signature 1",0.947245318163495
"SBS2","Signature 2",0.986120970954374
"SBS3","Signature 3",0.964771499859777
"SBS4","Signature 4",0.956151153760291
"SBS5","Signature 5",0.959478438812449
"SBS6","Signature 6",0.954281061228165
"SBS7a","Signature 7",0.951206103993671
"SBS7b","Signature 7",0.880944729355457
"SBS7c","Signature 8",0.38763239545592
"SBS7d","Signature 21",0.505715404498074
"SBS8","Signature 8",0.93902984133129
"SBS9","Signature 9",0.977543633447692
"SBS10a","Signature 10",0.812962397728197
"SBS10b","Signature 10",0.713953990528669
"SBS11","Signature 11",0.969214886363768
"SBS12","Signature 12",0.94455367582229
"SBS13","Signature 13",0.967364832807703
"SBS14","Signature 14",0.739959600137065
"SBS15","Signature 15",0.944500732895234
"SBS16","Signature 16",0.794185321159505
"SBS17a","Signature 17",0.402319128745718
"SBS17b","Signature 17",0.919221944879673
"SBS18","Signature 18",0.990586920031997
"SBS19","Signature 19",0.885949928546248
"SBS20","Signature 20",0.780307321146634
"SBS21","Signature 21",0.947229179815356
"SBS22","Signature 22",0.964161262321697
"SBS23","Signature 23",0.999549438821068
"SBS24","Signature 24",0.936718231612628
"SBS25","Signature 25",0.999999049588119
"SBS26","Signature 12",0.92289174427691
"SBS27","Signature 27",0.999999751872804
"SBS28","Signature 28",0.923223594773678
"SBS29","Signature 29",0.969691076528384
"SBS30","Signature 30",0.963645839401772
"SBS31","Signature 19",0.75837054539521
"SBS32","Signature 11",0.697537192632713
"SBS33","Signature 12",0.46224498261543
"SBS34","Signature 8",0.299185413470368
"SBS35","Signature 4",0.6872601241895
"SBS36","Signature 18",0.871763331833735
"SBS37","Signature 12",0.772075786498135
"SBS38","Signature 4",0.51156092272148
"SBS39","Signature 3",0.852748771594729
"SBS40","Signature 3",0.898979086699565
"SBS41","Signature 9",0.684385097131418
"SBS42","Signature 23",0.775705087485633
"SBS43","Signature 3",0.314017338053877
"SBS44","Signature 20",0.81187471118385
"SBS45","Signature 4",0.669909288546562
"SBS46","Signature 12",0.822170992003787
"SBS47","Signature 8",0.41030103863935
"SBS48","Signature 18",0.125187142226326
"SBS49","Signature 24",0.294953071455271
"SBS50","Signature 8",0.522458550885439
"SBS51","Signature 8",0.49838309177566
"SBS52","Signature 18",0.437480392306922
"SBS53","Signature 24",0.424993267008876
"SBS54","Signature 12",0.594181419113224
"SBS55","Signature 3",0.284032418348659
"SBS56","Signature 10",0.748410304898263
"SBS57","Signature 9",0.572972499245532
"SBS58","Signature 16",0.548819474343689
"SBS59","Signature 29",0.495068117478259
"SBS60","Signature 3",0.172228591262423
