"","to","sim","sp.total.exp[rownames(res2$match2), ]"
"SBS1","BI_COMPOSITE_SBS1_P",0.992806149807581,1915615
"SBS2","BI_COMPOSITE_SBS2_P",0.998059462324226,918711
"SBS3","BI_COMPOSITE_SBS39_P",0.875612203917947,1483191
"SBS4","BI_COMPOSITE_SBS4_P",0.993218269768993,1996101
"SBS5","BI_COMPOSITE_SBS5_P",0.83665496093231,11076564
"SBS6","BI_COMPOSITE_SBS15_S",0.933078627520711,530151
"SBS7a","BI_COMPOSITE_SBS7a_S",0.999338227541683,8386566
"SBS7b","BI_COMPOSITE_SBS7b_S",0.994377534917418,2265037
"SBS7c","BI_COMPOSITE_SBS7c_S",0.837515739301111,491811
"SBS7d","BI_COMPOSITE_SBS75_S",0.60939213478429,342848
"SBS8","BI_COMPOSITE_SBS8_P",0.884014104396488,68397
"SBS9","BI_COMPOSITE_SBS9_P",0.874830458420995,222406
"SBS10a","BI_COMPOSITE_SBS10a_S",0.984285275830502,3775770
"SBS10b","BI_COMPOSITE_SBS62_S",0.758389641636684,1302449
"SBS11","BI_COMPOSITE_SBS11_S",0.992761308579112,214213
"SBS12","BI_COMPOSITE_SBS12_P",0.963928312507117,576868
"SBS13","BI_COMPOSITE_SBS13_P",0.86187448494169,1009911
"SBS14","BI_COMPOSITE_SBS14_S",0.919725040701432,360299
"SBS15","BI_COMPOSITE_SBS15_S",0.946622556678344,341703
"SBS16","BI_COMPOSITE_SBS16_P",0.966201968912702,56305
"SBS17a","BI_COMPOSITE_SBS17a_P",0.944139972929012,502920
"SBS17b","BI_COMPOSITE_SBS17b_P",0.976967443658406,1132722
"SBS18","BI_COMPOSITE_SBS36_P",0.859792428319156,635243
"SBS19","BI_COMPOSITE_SBS19_P",0.974086594095156,27453
"SBS20","BI_COMPOSITE_SBS44_S",0.840763846937297,76311
"SBS21","BI_COMPOSITE_SBS21_S",0.835003512621461,137653
"SBS22","BI_COMPOSITE_SBS22_P",0.993867621274635,139129
"SBS23","BI_COMPOSITE_SBS11_S",0.805245627412833,920
"SBS24","BI_COMPOSITE_SBS4_P",0.665404879012864,6470
"SBS25","BI_COMPOSITE_SBS22_P",0.71230341595162,0
"SBS26","BI_COMPOSITE_SBS26_S",0.974502073218843,246022
"SBS27","BI_COMPOSITE_SBS22_P",0.591658523736284,0
"SBS28","BI_COMPOSITE_SBS28_P",0.902553944444088,2134627
"SBS29","BI_COMPOSITE_SBS18_P",0.815634366130475,170152
"SBS30","BI_COMPOSITE_SBS30_P",0.931210657098365,23106
"SBS31","BI_COMPOSITE_SBS35_P",0.842606132606336,6145
"SBS32","BI_COMPOSITE_SBS11_S",0.768584596634872,2482
"SBS33","BI_COMPOSITE_SBS33_P",0.98707041835725,4589
"SBS34","BI_COMPOSITE_SBS64_P",0.529558686030679,14927
"SBS35","BI_COMPOSITE_SBS35_P",0.90964346596263,39337
"SBS36","BI_COMPOSITE_SBS36_P",0.991637714633592,58543
"SBS37","BI_COMPOSITE_SBS37_P",0.849924495851802,432291
"SBS38","BI_COMPOSITE_SBS38_S",0.991285126006133,17886
"SBS39","BI_COMPOSITE_SBS39_P",0.93078506986337,9724
"SBS40","BI_COMPOSITE_SBS40_P",0.853586345083314,4158712
"SBS41","BI_COMPOSITE_SBS77_P",0.733445110286027,74602
"SBS42","BI_COMPOSITE_SBS11_S",0.669511241007344,0
"SBS43","BI_COMPOSITE_SBS60_P",0.797610441041782,8
"SBS44","BI_COMPOSITE_SBS44_S",0.902349235921389,856604
"SBS45","BI_COMPOSITE_SBS38_S",0.857133025402721,5739
"SBS46","BI_COMPOSITE_SBS12_P",0.742586912097316,0
"SBS47","BI_COMPOSITE_SBS68_P",0.486241617167408,0
"SBS48","BI_COMPOSITE_SBS36_P",0.132104198367208,0
"SBS49","BI_COMPOSITE_SBS38_S",0.506620175857046,0
"SBS50","BI_COMPOSITE_SBS8_P",0.614679992287848,0
"SBS51","BI_COMPOSITE_SBS80_P",0.558406446755489,363
"SBS52","BI_COMPOSITE_SBS36_P",0.633707386560269,1502
"SBS53","BI_COMPOSITE_SBS38_S",0.884845632256513,233
"SBS54","BI_COMPOSITE_SBS26_S",0.732649809642053,1022
"SBS55","BI_COMPOSITE_SBS55_S",0.837323186430044,0
"SBS56","BI_COMPOSITE_SBS36_P",0.926195968625535,23608
"SBS57","BI_COMPOSITE_SBS76_S",0.58933620062081,0
"SBS58","BI_COMPOSITE_SBS80_P",0.595123824934667,688
"SBS59","BI_COMPOSITE_SBS18_P",0.486559518544782,0
"SBS60","BI_COMPOSITE_SBS60_P",0.99272934859753,281
