BI_COMPOSITE_INDEL_SBS1_P	BI_COMPOSITE_INDEL_SBS2_P	BI_COMPOSITE_INDEL_SBS3_P	BI_COMPOSITE_INDEL_SBS4_P	BI_COMPOSITE_INDEL_SBS5_P	BI_COMPOSITE_INDEL_SBS6_S	BI_COMPOSITE_INDEL_SBS7a_S	BI_COMPOSITE_INDEL_SBS7b_S	BI_COMPOSITE_INDEL_SBS7c_S	BI_COMPOSITE_INDEL_SBS8_P	BI_COMPOSITE_INDEL_SBS9_P	BI_COMPOSITE_INDEL_SBS10a_S	BI_COMPOSITE_INDEL_SBS11_S	BI_COMPOSITE_INDEL_SBS12_P	BI_COMPOSITE_INDEL_SBS13_P	BI_COMPOSITE_INDEL_SBS14_S	BI_COMPOSITE_INDEL_SBS15_S	BI_COMPOSITE_INDEL_SBS16_P	BI_COMPOSITE_INDEL_SBS17a_P	BI_COMPOSITE_INDEL_SBS17b_P	BI_COMPOSITE_INDEL_SBS18_P	BI_COMPOSITE_INDEL_SBS19_P	BI_COMPOSITE_INDEL_SBS21_S	BI_COMPOSITE_INDEL_SBS22_P	BI_COMPOSITE_INDEL_SBS26_S	BI_COMPOSITE_INDEL_SBS28_P	BI_COMPOSITE_INDEL_SBS30_P	BI_COMPOSITE_INDEL_SBS33_P	BI_COMPOSITE_INDEL_SBS35_P	BI_COMPOSITE_INDEL_SBS36_P	BI_COMPOSITE_INDEL_SBS37_P	BI_COMPOSITE_INDEL_SBS38_S	BI_COMPOSITE_INDEL_SBS39_P	BI_COMPOSITE_INDEL_SBS40_P	BI_COMPOSITE_INDEL_SBS60_P	BI_COMPOSITE_INDEL_SBS55_S	BI_COMPOSITE_INDEL_SBS44_S	BI_COMPOSITE_INDEL_SBS61_S	BI_COMPOSITE_INDEL_SBS62_S	BI_COMPOSITE_INDEL_SBS63_S	BI_COMPOSITE_INDEL_SBS64_P	BI_COMPOSITE_INDEL_SBS65_S	BI_COMPOSITE_INDEL_SBS66_S	BI_COMPOSITE_INDEL_SBS67_S	BI_COMPOSITE_INDEL_SBS68_P	BI_COMPOSITE_INDEL_SBS69_P	BI_COMPOSITE_INDEL_SBS70_P	BI_COMPOSITE_INDEL_SBS71_P	BI_COMPOSITE_INDEL_SBS72_P	BI_COMPOSITE_INDEL_SBS73_S	BI_COMPOSITE_INDEL_SBS74_S	BI_COMPOSITE_INDEL_SBS75_S	BI_COMPOSITE_INDEL_SBS76_S	BI_COMPOSITE_INDEL_SBS77_P	BI_COMPOSITE_INDEL_SBS78_S	BI_COMPOSITE_INDEL_SBS79_S	BI_COMPOSITE_INDEL_SBS80_P	BI_COMPOSITE_INDEL_SBS81_P	BI_COMPOSITE_INDEL_SBS82_P	BI_COMPOSITE_INDEL_SBS83_P	feature
0.078399893	0.228051163	0.006804273	0.148811547	0.076918357	0.001108353	0.101207461	0.081983472	0.045352659	0.319064764	0.045097024	0.007749565	0.121968016	0.068547223	0.334246462	0.000627264	0.000461374	0	0	0.01028479	0	0.07315136	0.000779098	0	0	0.040723023	0	0	0.138403374	0.013456208	0	0.022327284	0.198760204	0.059229079	0	9.88131291682493e-324	0.000557557	0.009302291	0.009426736	0.02739283	0.004688209	0.054751837	0.008095357	7.60E-35	0	0.185472167	0.095431523	0.006883949	0.007202447	0.005361914	1.08E-149	0.068631766	0.001070805	0	0	0.009170617	0.36794463	0.009810194	0	0	DEL_C_1_0
0.062478994	0.004371906	0.003331267	0.163656689	0.23568813	0.000499671	0.036619493	0.018605978	0.01104895	0.095731348	0	0.008073004	0.052061523	0.146155527	0.090117862	0.002618444	0.000657416	0	0	0	0	0.247910311	0.003804338	0.122096685	0	0	0	0	0.146965988	0	0	0.05213595	0.009421517	0.044892762	0	1.92E-108	1.54E-214	8.78E-131	0.011234619	0.024190489	0.002269729	0.040246647	0.008447412	0.032498632	0	0.041648998	0.101564318	0	0.002812918	0.003074081	1.90E-279	0.023778764	0.000131869	0	0	0.008723391	0.003489817	0.006651439	0	0	DEL_C_1_1
0.029059383	0.008895054	0.001766635	0.171150175	0.177261827	0.001249062	0.014778071	0.004257168	0.014852007	0	0.000546186	0.002475533	0.015708979	0.05677591	0.024534643	0.002438894	0.000375083	0	0	0	0	0.279168271	0.007216175	0.035528842	0	0	0.060622553	0	0.074193511	0	0	3.14E-257	0	0.032991714	0	1.48219693752374e-323	1.05E-238	3.02E-183	0.004581935	0.009327964	0.001182348	0.014876843	0	0.011956026	0	0.004743613	0.040257715	0	0.004544238	0.01379769	2.97E-218	0.012423741	3.97E-05	0	0	0.009101601	0	0.002265619	0	0	DEL_C_1_2
0.016429286	0.016651347	0.001561374	0.048024585	0.077111047	0.004631079	0.00846932	0.008997885	0	0.005388378	0	0.000642302	0.025743616	0.034994658	0.016739659	0.00457871	0.000808429	0	0	0.001229787	0	1.69E-13	0.008311575	0.044168806	0	0	0.107985222	0	0.116401796	0	0	4.94065645841247e-324	0	0.016958376	0	0.009971984	0	0	0.003689073	0.005637856	0.002931535	0.02127811	0.000456001	0.005628453	0	0	0.013834488	0.001417795	0.004340462	0.072085699	4.94065645841247e-324	0.009892509	0	0	0	0.042443158	0	0.000533116	0	0	DEL_C_1_3
0.012720939	0	6.47E-05	0.029411945	0.059950121	0.014434674	7.61E-33	0.00538604	0.010911268	0.000803623	0.001733858	0.001320136	0.00965466	0.023966714	0.014601559	0.004588979	0.003261204	0.003120397	0	0.004533591	0	0.014481771	0.005044205	0.008995151	0	0	0.049834886	0.026708017	0.038145683	0.004187676	0	4.94065645841247e-324	0.02336486	0.005174554	0	1.97626258336499e-323	4.01E-177	7.82E-122	0.001954685	0.002132126	0.001722797	0.009615395	0	0.008038465	0	0.003860416	0.013046974	0.002710051	0.004664795	0.124478235	4.94065645841247e-324	0.001905322	6.63E-169	0	0	0.075044778	0	0.001796611	0	0	DEL_C_1_4
0.038240445	0	0	0.016738233	0.030646399	0.038495264	4.94065645841247e-324	3.59E-158	0.00331815	0	0	0.001176925	0	0.008760613	0.011750685	0.000572462	0.019014675	0	0.01616344	0.006390188	0	0	0	0.00313612	3.69E-42	0	0	4.23E-45	0.012404394	0	0.041916638	0	0.012633304	0.000673686	0	4.94065645841247e-324	0.018716884	0.003130821	0.001159731	0	0.004554153	0.001735916	0.0026359	0.003991139	0	0.003554294	0.004420551	0.013504516	0	0.204718864	0.582861895	3.49E-156	0.005360668	0	0	2.81E-96	0	0.007867566	0	0	DEL_C_1_5+
0.140574125	1.75E-05	0.006508337	0.028656018	0.037578317	0.000668982	0.054687271	0.035643747	0.0721937	0.079389704	0.078233029	0	0.082776904	0.059223372	0.019951974	0.000328437	0.000205194	0.09267656	0	0.049818668	0	0	0.002319268	0.296586055	2.05E-70	0.127281245	0.121291497	0	0.001243795	0.038006441	0	0.041573791	0.076009524	0.083586932	0	0.048174219	0	0	0.000701446	0	0	1.61E-225	0	0.027746492	0	0	0.088934552	0.004722328	0	0.003959259	0.010004564	0.069317292	0.001148101	3.29E-10	0.021391571	0.022415641	0.098738932	0.002583018	0	0	DEL_T_1_0
0.051721241	0	0	0.045597623	0.022823669	0.001139522	0.525603643	0.326581174	0.328643784	0.035768706	0.021419835	0.004270224	0.068304083	0.052781482	0.018877132	0.002795941	0.000330679	0.053794568	0	0.088946164	0	0	0.005672108	0.118715689	0.001444086	0.113908477	0	0	0.010059354	0.019505222	2.97E-09	0.088045559	0.010645435	0.081700607	0	4.94065645841247e-324	0	0	0.001200158	0.010270504	0.000402429	1.04E-307	0	0.341486812	0	0	0.067493062	0.004465108	0	0.016202462	9.88131291682493e-324	0.213711247	0.000226367	0.001035491	0.001090727	0.007792566	0.009293811	0	0	0	DEL_T_1_1
0.036287707	0.061619322	0.001121464	0.01574343	0.01499919	0.002349282	0.018625102	0.018311593	0.049119407	0.074854581	0.030786615	0.017237466	0.04393781	0.042119421	0	0.04780304	0.006297813	2.60E-06	0.021850232	0.022240245	0.006059075	0.031993222	0.008236933	0.043174126	0.003605943	0.104999927	0	0	0	0.026392444	0	4.94065645841247e-324	0.085474593	0.095691586	0	6.94E-90	0	0	0.012166401	0.107997473	0.001406206	0.033765399	3.35E-145	0.018938374	0.048080223	0	0.054991161	0.005987757	0.010998108	0.025373591	9.88131291682493e-324	0.026089021	0.00107267	0.002030672	0	0.025123554	0	0	0	0	DEL_T_1_2
0.02593042	0	0.003207791	0.014780136	0.037327517	0.01351371	0.063794037	0.043165218	0.068571466	0.117173626	0.027046125	0.021793181	0.040725219	0.016186992	0.003204236	0.116255103	0.04614002	0	0	0.039233579	0	8.47E-22	0.008814074	0.007720155	0.02825294	0.216735531	0	0	0	0	0	8.15E-38	0.110117928	0.075787826	0	9.88131291682493e-324	0	0	0.019841787	0.096126649	0.004894557	1.87E-152	1.04E-91	0.052731735	0.375751174	0	0.037156319	0.015713863	0.029792362	0.026491594	4.94065645841247e-324	0.035223149	0.000409833	0.013864662	0	0.171055585	0	0	0	0	DEL_T_1_3
0.017378618	5.14E-05	0.000422912	0.00515504	0.032538177	0.042525801	0.031147161	0.007753512	0.034482721	0.100030695	0.031868274	0.036085055	0.011902322	0.019912954	0.010476684	0.16664918	0.099829728	0.011595342	0	0.042091755	0.063520058	3.72E-21	1.24E-06	0.00191651	0.07169941	0.101752219	0.006033329	0	0	0.00375492	0.094627362	1.48219693752374e-323	0.083151191	0.04555117	0	4.94065645841247e-324	0.027586661	4.35E-305	0.014322916	0.095269246	0.009151695	0.029384514	0.009950907	0.00961526	0	0.039219698	0.020307632	0.039135419	0.069315452	0.144480547	4.94065645841247e-324	0.017162588	5.56E-252	0	0	0.337841987	0	0	1.79E-24	0	DEL_T_1_4
0	0	0	0.005304506	0.018143399	0.710446941	1.13E-182	3.55E-231	3.41E-165	0	0.000954893	0.134458659	0.006705473	0.001174826	0.011805606	0.337442802	0.323468604	0	0	0.298192068	0	0	1.16E-83	0	0.863606231	0	0	0	0	0	0	9.88131291682493e-324	0.000159889	0.021753201	0	4.94065645841247e-324	2.17E-16	1.35E-35	0.238371387	0.243137703	0.038877699	1.16E-55	0.090787968	0.00E-01	0	0	0	0.822823875	0.204734117	5.44E-33	0	0	0.098111437	0	5.77E-96	1.26E-48	0	0	0	0	DEL_T_1_5+
0	0	0	0.005797981	0	0.000368902	0.006451153	0.015599471	1.29E-138	0	0	0.013004322	0.00324964	0	0	0.00048842	4.88E-197	0	0	0.089745606	0	0	0.005141769	0	0.001688293	0	0	0	0	0	0	4.94065645841247e-324	0	0	0	1.08E-136	0	0.133796561	0.050090266	0	0	0.076255744	0.008227966	9.39E-255	0	0	0	0.003802584	0	0.024527413	0	3.27E-276	0.0050489	0.741720615	0.000481008	0	0	0	0	0	INS_C_1_0
0	0.005933878	0.002007333	0	0.00027304	1.17E-66	5.67E-186	0.010736896	4.94065645841247e-324	0	0.002510251	5.43E-112	4.94065645841247e-324	0	0.002212638	8.26E-120	4.78E-42	0	0	0.002545163	0	0	0	0	0.000610999	0.022202856	0	0	0	0.003151143	0	0.001634327	0.007489993	0	0	4.94065645841247e-324	6.90E-285	0.001182681	0.001461455	1.08E-55	0	0.001584336	0.002337511	1.04E-27	0	0	0	0.000361181	0	0.001546178	0	0.004084044	3.97E-198	0.020713555	0.000964919	3.14E-231	0	0	0.175628049	0	INS_C_1_1
0	0	0.000676324	0.001838523	0.001133115	2.26E-05	3.08E-56	0	4.94065645841247e-324	2.66E-09	0	5.41E-05	0.000510219	0	0	0.000326508	1.56E-05	0	0	0.001372584	0.006574376	0.006121341	0.000258563	0	8.72E-05	0	0	0	0	0	0	4.94065645841247e-324	0.005409927	0.003113337	0	0.04166059	0.000528132	2.06E-42	0	0.000758508	0	1.04E-282	0.00261895	0	0	0	0	0	0	0	0	0.001554531	0.000140896	0	0.000752321	0.004820824	0.001219439	0	0.099266491	0	INS_C_1_2
1.17E-05	0	0.000234762	0.004507078	0.008640196	0.000333557	4.94065645841247e-324	0.001710268	4.94065645841247e-323	0	0.000930655	0.000113526	0.001260975	0	0	0.000574473	9.41E-05	0.000818105	0	0.00130217	0	0	0.00317495	0.004994179	0	0.011641143	0	0	0	0	0	0.030260877	6.97E-07	0.000520876	0	0.005785839	0	0.001318947	0.000368987	0.000734992	0.001120445	0.002064026	0	4.94065645841247e-324	0	0	0.003779085	0.000407473	0.00077406	0.001587229	4.94065645841247e-324	0.001710767	0.00153625	0.000730171	2.35E-22	0.017283171	0	0	0.044090687	0	INS_C_1_3
0.009358905	0.021654007	0.000107149	0.007293216	0.007821915	0.002382579	0	0	0.002078981	0	0	0.000577938	0.002722897	0	0	0.00077257	0	0	0	0.004945896	0	0	0.001563771	0	0.001483721	0.001334426	0	0	0	0	0	0	0.002816522	0	0	4.94065645841247e-324	0.00133084	0.001074656	2.71E-09	0.002194432	0.002614037	0	0.001365725	4.94065645841247e-324	0	0.011561392	0	0.001460976	0.003147216	0.007824109	0.023785942	7.65E-24	0.009737115	0.000248745	0.002919131	0.10289913	0	0	0.013162479	0	INS_C_1_4
0	0	0	0.00915119	0.003998821	0.010929529	0.003177865	0.002167899	0	0	0.010971804	0.00330339	0.001837798	0.001402514	0.019633356	0.007262384	0.003925928	0	0	0.010226784	0	0	4.44E-95	0.001050824	0.013448337	0.025307409	0.057893142	0	0	0.004359009	0.047221959	0.068527149	0	0.00068294	0	0.109304837	0	0.00766123	0.001396115	0.002149811	0.026703035	0.01076309	0.007400606	0.002602559	0	0.01907099	0.013803775	0.006553444	0.054212533	0.060505361	0	3.66E-294	0.052057002	0	0.013837171	0.106252461	0	0	0.002738495	0	INS_C_1_5+
0	0.020814563	0.003184175	0.028245159	0.01273806	0.000514569	0.025732744	0.019187433	0.067468172	0.010535024	0.025575312	0.009441968	0.002519701	0.000281778	0.003145521	0.004796638	0.000907785	0	0.047688808	0.005288532	0	0	0.002023373	0.015626747	0.002342658	0	0.052765569	0	0.03770151	0.007228831	0.029188241	9.88131291682493e-324	0.021712506	0.008193173	0	2.42E-222	8.43E-76	0.016669375	0.002803032	0.014751349	0.004590273	0.19647148	0.000908518	0.043178015	0	0	0	0.000926776	2.81E-08	0.000838972	0	0.015326152	0.003507721	0.054829071	0.00931617	0	0.143180424	0	0	0	INS_T_1_0
0.030780486	0.04785116	8.32E-11	0.066595632	0	0.000130984	4.42E-23	0.009759038	0.022447909	0	0	0.000366594	0.003244366	0.014840656	0.014695573	0.00141991	0.000427938	0.280287028	0.058880756	0	0	0	7.51E-135	0.010647065	0.001317447	0	0	0	0.142509805	0	0	0.036008613	0	0.01747504	0	1.48219693752374e-323	0	0.000623019	0.000150758	0.001993479	0.002088791	0.01580296	0.005429589	0.012310699	0.139476494	0.009865712	0	0	0	0.002761254	9.88131291682493e-324	0	5.18E-48	0	3.22E-53	0	0.032330461	0	0.315731546	0	INS_T_1_1
0	0	0	0.055443219	0.025854107	0.001592427	1.11E-49	0.001286537	0.013448328	0	0	0.000948071	0.003128718	0.001120028	0	0.002414788	0.000692962	5.40E-08	0	0.002572548	0.009636424	0	0.034287394	0.006680513	0	0.026918682	0	0	0.083162644	0	0	4.94065645841247e-324	0	0.027223088	0	4.94065645841247e-324	0.019556401	0.004627454	0	0.003228032	0.002623026	0.046973503	0.004386547	0.002393594	0	0	0	0	0.003944102	0.023407133	0	6.56E-11	0.009329288	0	0.004140207	6.67E-180	0	0	0.178576079	0	INS_T_1_2
0	0	0	0.030952769	0.019404635	0.001038963	0.0050073	1.12E-95	0.011071222	0	0.00494824	0.004746533	0.004409656	0.005296626	0.012747855	0.00394714	0.001827094	0.016682253	0	0.003088111	0	0	0.018091844	0	0	0	0	0	0.035828997	0.007435221	0	4.94065645841247e-324	0	0.017737269	0	4.94065645841247e-324	0.010438036	0.020495805	0.004769978	0.017043468	0.005739258	0.048910652	0.004868905	0.023479293	0	0	0.000919735	5.72E-12	0.012234079	0.019335522	0	0.001079551	0.006236693	0	4.94065645841247e-324	0	0	0	0.117599893	0	INS_T_1_3
0	0.009539019	5.77E-17	0.007611901	0.005903016	0.002409439	0.015882626	4.94065645841247e-324	0.004852091	0	0.052450786	0.032236392	0.006461964	0.007242876	0.016855935	0.022426918	0.011474033	0	0.094818813	0.004164758	0	0	0.011589383	0.002210247	0.001469266	0	0	0	0.001303359	0.021316653	0	0	0	0.009434809	0	1.73E-71	0.015491954	0.076741194	0.020692899	0.060387197	0.014962036	0.017872606	0.043716937	0.015854048	0.067370238	0.012669068	0	0.000326237	0.044226088	0.037721517	0	0.001629207	0.014592035	0.001170733	0.048046325	0.035879082	0	0	0.049831802	0	INS_T_1_4
1.67E-06	0	0	0.027371916	0.007568849	0.092208207	9.80E-73	0.03391983	9.42E-125	0.047988494	0.598813645	0.646476159	4.35E-178	0.191207946	0.185448107	0.251519064	0.454923449	0	0	0.222082996	0	0	0.784881975	0	6.53E-119	0	0	0	0	0.363450104	0	1.35E-254	0.000265871	0.002648593	0	9.88131291682493e-324	0.872388424	0.690765392	0.582763755	0.261080088	0.780408211	0.087147041	0.733870038	0.045008298	0	0	0.169489098	0	0.329070791	2.17E-98	7.56E-63	4.81E-27	0.677860316	0	0.861168445	2.68E-212	0	0	0	0	INS_T_1_5+
0.039648976	0.007138742	0.003693605	0.013978934	0.002305133	0.000686386	0.008418212	0.021111457	0.014318871	0.024900242	0.002515553	0.000766655	0.027677682	0.002997537	0.016868374	0.000223744	0.000479114	0.00436031	0.013329352	0.002611561	0.033274625	0	0.001630404	0.026750603	0.000766546	0	0	0	0.017625202	0.018561838	0	0.051911035	0.004453513	0.027460731	0	0.051305197	0.008311432	0.00116135	0	0	0.001116552	0.038189557	0.001382046	0.023718997	0	0	0.016269853	0.002162317	0.015680789	0	0.038149777	0.026047297	0.000682102	0	0.001554479	0	0.008157721	0.046571282	0	0	DEL_repeats_2_0
0	0	0.003070247	0.014093669	0.00495037	0.00118158	0.0039606	0.000148251	0.018321455	0	0.004441149	0.00146314	0.028954777	0.002514427	0.015954106	0.000403572	0.001139317	0	0	0.006719812	0.190842166	0	0.004217572	0.083992435	0.0040586	0.0267393	0	0.192123071	0	0.002459589	0	0.051304765	0.020672238	0.021720332	0	9.52E-301	3.79E-36	0	0	0.000341274	0.005275386	1.17E-63	0	0.012672979	0	0.081943562	0.015297172	0.008856299	0.021032307	0.017731682	0	0.022708544	0.000418255	0.002419937	0	0.00E-01	0	0.131868099	0.00044272	0	DEL_repeats_2_1
0.010327164	0	0.000747211	0.010079771	0.014566116	0.001446968	0.004468993	5.69E-88	0.005120063	4.93E-08	1.95E-06	0.000929221	0.005236652	0	0	0.001107626	0.000334333	0	0.043253629	0.00151298	0.037210918	0.024145271	0.00198066	0.044157865	0.00181128	0	0.000118437	0	0.006161087	0	0	0.021926149	0.010873487	0.004150143	0	0	0	0	0.000289452	0	0.00165612	0	0	0.009043025	0.070870767	0.022817363	0	0.002124635	0.010249271	0.008242524	9.88131291682493e-324	0.00358473	0	0.000319172	0.00123272	0.002423521	0	0.034228907	0	0	DEL_repeats_2_2
0.00403855	0	0.000132712	0.002563401	0.012509033	0.011296632	0	0	0	0	0.000422107	0.000171205	0	0	0.010140094	0.001426035	0	0.000316319	0	0.000590616	0	0	0	0.009049879	0	0.003598288	0.002946523	0	0.006430091	0	0.013244991	0	0.001974489	0.000660429	0	0.00713168	0	7.20E-05	0	0	0.001136431	0.001715704	0	0	0	0.00442731	0.000192903	0.000817946	0.000502481	0.069703757	4.94065645841247e-324	0.000546233	0	0	0.000298735	0.004099479	0	0.012174185	0	0	DEL_repeats_2_3
0.008004388	0.009807394	9.39E-05	0.001884939	0.004898807	0.007882294	0	0	0	0	0	0	0.002932127	0	0	0.000632402	0.00108717	0	0	2.57E-05	0	0	0.01196512	0.001008977	0	0.014866332	0	0.032177837	0	0	0	0	0	1.01E-05	0	0	0	0	0	0	0.000116077	0	0	0	0	0	0.001059749	0.000854199	0	0.016039914	4.94065645841247e-324	0	0.000768643	0	0	0	0.011518499	0.005560564	0	0	DEL_repeats_2_4
0	0	0	0	0.003937056	0.010940622	3.16E-38	4.94065645841247e-324	0	0	0	0	1.31E-44	0	0	0	0.001928347	0	0	0.001670944	0	0	0.02814068	0	0	0	0	0	0	0	0	0.026924048	0	0	0	0.004533652	0	0	0	0	0	0.000172364	0	0	0	0	0	0.001407111	0	0	0	0	0.001642017	0	0	0	0	0.042070111	0	0	DEL_repeats_2_5+
0.016028298	0.002274426	0.005161623	0.000313386	0.001668807	0.000124523	3.17E-291	0.00647639	0.003836362	0.002347568	0	0.000431479	0.017376212	0.001629674	0.004305492	3.95E-05	0	0.000398722	0.037803331	0	0	0.01540563	0	0.000598891	0.000147409	0.004018622	0	0	0.010512569	0.004796376	0	0.021107938	0.007421518	0.01535645	0	0.035231561	0.000754805	0.000362085	0	0	0.000128295	0.004311057	0	0.007712252	0.016318281	0	0.020578853	0.000102866	0.002125188	0.000572458	0.004013004	0.006659144	0	0.00165093	0.001026185	0	0.003053396	0.005699963	5.73E-11	0	DEL_repeats_3_0
0.042020432	0	0.003313281	0.00024014	0	0.001545833	0.004809148	0.001526978	0	0.000441648	0.00330885	0	0.014432842	0.005864015	0.022767867	0.00030502	0.000866318	0.006943283	0.134531737	0.003826808	0.120274849	0	0.003394328	0	0.001021986	0	0.002476718	0	0	0.017082826	0	0.009570332	0.018372082	0.005840481	0	9.88131291682493e-324	0	0	9.80E-05	0	0.00515208	0	0	0.00602833	0.094366754	0.093817921	0.019741316	0.005287786	0.024787988	0.012617314	1.48219693752374e-323	0	0.000153843	0.001641057	0	4.54E-307	0	0.10121106	0	0	DEL_repeats_3_1
0.012718665	0.02694079	0	0	0	0.000871996	0	0.001745158	2.66E-78	0.000236882	0	0	0.002113069	0.00455912	0	0.000223485	4.18E-05	8.64E-19	0	0	0.028425245	0	0.002118029	0.000745038	0	0	0.022643064	0	0	0.004015838	0.040449813	0.003853513	0.008707166	0.00053129	0	4.94065645841247e-324	0	0	8.09E-05	0.000185376	0.000599419	0	0	2.15E-232	0	0.00730174	0	0.0024026	0.008123893	0.006446591	4.94065645841247e-324	0	2.93E-05	0.001928361	0	0	0	0.024250875	0	0	DEL_repeats_3_2
0.00321941	0	4.49E-05	0	0	0.001100115	1.41E-250	0	0	0.00155019	0	9.66E-05	0.000764575	0.002049349	0.003160314	0	0	0	0	0.000650489	0	0	0.001786512	0	0	0	0	0	0	0.005149007	0.004045077	0	0	0.000179652	0	0	0	3.62E-251	0	3.62E-05	0.000571304	0	0	0	0.001339984	0	0	0.000386813	0	7.84E-106	9.88131291682493e-324	0.001492907	1.28E-12	0	0	0	0.004197262	0.005883388	3.68E-05	0	DEL_repeats_3_3
