BI_DBS1_S	BI_DBS2_P	BI_DBS3_S	BI_DBS4_P	BI_DBS5_P	BI_DBS7_P	BI_DBS8_S	BI_DBS11_P	BI_DBS12_P	BI_DBS13_S	BI_DBS14_S	BI_DBS15_S	BI_DBS16_S	BI_DBS17_S	BI_DBS18_P	feature
0	0.00143742960655075	0.0053143472626694	0	0	0.0526343702153876	0.433714926453501	0	0.0124617041522426	0	0	0	0.0134609860603947	0	0	AC>CA
7.2500884546915e-05	9.4602410544857e-05	0	0	0	0.00850499971726147	0	0	0.000391748354393605	0	0	0.000218264701809929	0	0	0	AC>CG
0.00315957432353091	0.000926917158164681	0.00109308376646037	0	0	0.034797654804181	0.552541429200592	0	0.00732001073429629	0.00323864795017027	0	0.078674281301986	0	0	0	AC>CT
0.000165594481873299	0.00151226444429818	0.00641426255531267	0	0	0.00338255822079965	0	0	0.0168746274503363	0	0.00447081990669312	0.0073306622572717	0.00839444249642857	0.00653640314685199	0	AC>GA
3.91481841279041e-05	0	0.000357192738905496	0	0	0.00486153234041534	0	0	0.002488898679583	0	0	0.00108953156967747	0.00585138036823121	0	0	AC>GG
0.00235115077638443	0.000611200577688139	0.00627408987953396	0	0	0.00846458371484938	0	0	0.00591071565873923	0	0.0161000567886022	0.0379734072193956	0.0185042580200467	0.05666718069164	0	AC>GT
0.00126030771513789	0.00306978535171996	0.000937599590226919	0	0	0.000681041359675203	0	0	0.0221762991781836	0.000259446450968417	0.00843797750922187	0.0186117141521716	0.00715894408129486	0.00102414957686953	0	AC>TA
0.000131635553941001	0.000235028143715288	0	0	0	0	0	0	0.00815096280803343	0	0.00260861147858576	0.00506183123818162	0.00346275872960987	0	0	AC>TG
0.0200371551611686	0.0047523159068929	0	0	0	0	0	0	0.0220393733218182	0	0	0.487262554261541	0	0	0	AC>TT
0.000542751096338489	0.000336390242536996	0.0076024524120279	0	0	0.0177871299011261	0	0	0.00535697899961164	0.00273863399369609	0	0.00183577155920584	0.0127658824292833	0.00174674587859815	0	AT>CA
0.000360381334050501	0	0.00804874628301078	0	0	0.0146976567753401	0	0	0	0.000681074174881793	0	6.05858642114116e-05	0	0	0	AT>CC
0	0	0.011432398849417	0	0	0.00688962755169803	0	0	0	0.000232138946919672	0	0	0	0	0	AT>CG
0.0019769194132084	0.000655978962497719	0.00199092645947694	0	0	0.0159032357753079	0	0.00241783212433403	0.00428206125158258	0.00502376480019662	0	0.00978357531450519	0.0143912456361016	0.00175129025184715	0	AT>GA
0.000100949404776609	8.59242045003102e-05	0.0053263725351672	0	0	0.0141921899739628	0	0	0	0.00072789829335902	0	0.00607351188969081	0.00795228377199872	0.00266185575719554	0	AT>GC
0.00243505270034061	0.00120545586339897	0.00151202310320794	0.00461239706397999	0	0.0231928916971426	0	0	0.0112152066692126	0.00919268103654331	0.00447766311648222	0.00292643658160263	0.0735094111956039	0.00907110985786416	0	AT>TA
1.28750361589656e-06	0.567650193393639	0.0114209640375623	0	0	0	0	0	0	1.22254268511404e-06	0	0	0	0	0	CC>AA
0.00016902811793643	0.0681137422010838	0	0	0	0	0	0	0.0293279850785259	0.00451109619209437	0	0	0	0.000278923582544043	0	CC>AG
0.0241696696251164	0.0939946506246224	0	6.54199373646046e-12	0	0	0	0	0.054396284891009	0.101415946651681	0.397228515977532	0	0	0	0	CC>AT
0.000246761935204827	0.0188416140616428	0.000546053022488085	0	0	6.38663142358002e-13	0	0	0.0137664206209035	0	0.00779795409626485	0	0.000326308836629271	0	0.00156984996826239	CC>GA
0.000162643078661088	0.0021432368584966	3.37448766854144e-05	0	0	0.00399073327639231	0.00108291482580098	0.0011320049382534	0.00570661765182141	0	0	0	0.000327255823490041	0	0.00165521873252249	CC>GG
0.00732621748275011	0.00302887909892862	0	0	0	4.01938359515588e-05	0	0.0926114168486332	0.0133631506696184	0	0	0	0	0	0	CC>GT
0.012166581114612	0.0174168019086956	0.0192305831401502	0	0	0	0	0.0442754913914716	0.0158813961389758	0.00988780695821192	0.204423023829349	0	0	0.0311263399984883	0	CC>TA
0.00319941939874777	0.00177656508485267	7.99643738927467e-06	0	0.00350999760092528	0	0	0.0315484854094846	0.0130651772864789	0.00526844751008904	0	0	0.00170185620522723	0.00063648341033286	0	CC>TG
0.847339201394707	0.0106619483040478	8.53034718909579e-13	0	0	0	0	0.823953867936678	0	0	0	0	0	0	0	CC>TT
0	0.00188637786091981	0.000498371922492803	0	0	0	0	0.000145931153016448	0.00185891016972937	0	0	0.000404431109561311	0	0.000326318094920092	0	CG>AT
0	0.000410020956008279	0	0	0	0.000108746745723598	0.00204859835448976	0.000120056451647593	0	0	0	4.83979838570102e-05	0.000844212051893517	0	0	CG>GC
0	0.00168931200714996	0	0	0.0088582342218296	0	0	0	0	0	0	0.00102841867008723	0	0	0	CG>GT
0	0.000295957875215869	0.0744252793879835	0	0	0	0	0	0.0015082982411922	0	0	0	0	0.612087395401765	0.00568556984786676	CG>TA
1.93076459270985e-05	0.00311574791897698	0.00049109728493193	0	0	0	0	0	0.000923768540902742	0.000172111412405151	0	0	0.00308028953913937	0.00160869806249708	0.00209182819767388	CG>TC
0.000260534666920303	0.00715170064220823	0.00767649170002214	0	0	0.00222307521196757	0	0	0.00302623182852516	0	0.000318614021715184	0.000504559745824405	0.00122284154479514	0.0105988059958658	0	CG>TT
0	0.0138856110060363	0.00662760341312801	0	0.503197489187386	0	0	0	0	0.00761974217502592	0	0	0	0	0	CT>AA
0.000382699248837225	0	0.033101753851379	0	0.300712488049809	0	0	0	0	0.000193087372193616	0	0	0.0294639620516751	0.00931242546813102	0	CT>AC
0	0.00507692604302975	0.106076419536992	0	0.0268839184656177	0.0305299063327503	0	0	0.0129198891483015	0	0	0	0	0	0	CT>AG
0.000285111370731396	0.00106139826000087	0	4.1419742990626e-05	0.0185039122615663	0.00430610970955321	0	1.0586737702761e-11	0.00409503017613559	0.00382091420448249	0.00461519907820149	0	0.000620260632744709	0	0	CT>GA
0.000375002360446822	0.000575165449592569	0	0	0.00438650768943805	0.0128920571264022	0	0	0.00327944823839289	0.000970843795519792	0.00577830723688116	0.00173405898032882	0.00860473887782481	0	0	CT>GC
8.22017110894226e-05	0.0007151922772675	0	0	0	0.00555532908865395	0	0	0.00656300844042935	0	0	0	0	0	0.00440309162536336	CT>GG
0.0111148347934781	0.00886054553463993	0	0	0.0133634202226987	0	0	0	0.0249761729775112	0.254926651378824	0	0	0	0	0	CT>TA
0.0101917501341513	0.00219680538963135	0.00643066916185227	4.12436698776522e-10	0.00192305129250264	0.0726427756750674	0	0	0.00842465003519018	0.115871675994488	0	0.0614859756432429	0.0290121758249842	0.00481479393325296	0	CT>TC
0.00293967277308434	0.00250682698564958	0.0508067135404278	0	0	0.00419611936473333	0	0	0.0110396565559823	0.0421387236726387	0	0	0	0.0212763692456819	0.00868653812863955	CT>TG
0.00130413327058864	0.00331988866368753	0	0.464820894842702	0	0	0	0	0	0	0	0	0	0.00529816615111455	0	GC>AA
7.80149834845941e-05	0.00204544034610836	0.000445185198913689	0.0127086846341595	0	0	0	0	0.045651071475741	0.00251227591664462	0	0.00806291948324944	0.0066902475291672	0.0017081016838237	0	GC>AG
0	0.00191790438969719	0	0.0237330786050281	0	0	0	0	0.0417143755831975	0.00148801700264495	0.0037708718118808	0	0.0101124302708604	0.124661700740559	0	GC>AT
0.000143332944821782	0.00268212913896983	0.000274948357676527	0.00631399260975292	0	0	0	0	0.0160834474742911	0	0	0.0034534768706187	0.00935434616820692	0	0	GC>CA
0	0.000127496801961561	0	0	0.000355309986164231	0.0053308905295379	0	0	0.000204467012931458	0	0.00191572375845883	0	0.00221393221651099	0	0	GC>CG
0	0.000916772592887445	0.00477353379483078	0.020981230653685	0	0	0	0	0.00690490442759027	0	0	0	0	0.00552042994919743	0	GC>TA
0.000799298940804696	0.00438944170098232	0	0.0287674265509032	0	0.0383130356692143	0	0	0.0170545439277617	0.00126650410131601	0.00498639348247438	0	0.103384465502751	0.0286138789324046	0	TA>AT
2.95997447419966e-05	9.87868544246385e-05	0.00331413247866035	0.00063339804278932	0	0.0067911847222303	0	0	0	0	0	0	0.000570929701973607	0.000883536431701772	0	TA>CG
0.000643752123703912	0.00392077728749608	0.000519582949928451	1.78871534282908e-09	0	0.0257626557135245	0	0	0.0175235601720217	0.00373189949493001	0.00245000142005767	0.0230844881943587	0.0138241384245538	0	0	TA>CT
1.43939552603816e-05	0.000126121927310553	0.0019255055028361	0	0	0.00340412299622601	0.00300445332857505	0	0.000209944599382287	0.000650359662088507	0	0	0	0	0	TA>GC
0.000127611382598757	0.000185261434282165	0.00523452655777957	0.00448257763372684	0.00136646620220782	0.00893644494079155	0	0	0.000483840579592799	0	0	0	0.00329040442508646	0.00120974326286803	0	TA>GG
0.00127055834582269	0.00147560457781755	0.000106327419038054	0.0175922905223141	0	0.0283816606092518	0	0	0.00227721713452136	0.00442938943061227	0.00575422866782019	0.00701718510425938	0.00521781441549789	0.00198310577089291	0	TA>GT
0	0.0144055243520341	0.00927206482370542	0.324722630749012	0	0	0	0	0.0890069677298815	0.00630902608408885	0.00578430860254635	0	0.00386452390271022	0	0	TC>AA
0.000117500376235338	0.00174324590606101	0	0	0.00720529529633555	0	0	0	0.0252656032293747	0.00215611468346339	0.00701891216901851	0	0	0	0	TC>AG
0.00879258746388344	0.00575554760753859	0.00218116841276777	0	0	0	0	0	0.103603379598869	0.22843479943658	0	0.117620457489072	0.0102084916144856	0	0	TC>AT
0	0.00374460768836255	0.0702093424108982	0.0580608905102563	0	0	0	0	0.0488627427372801	0.00440026047882797	1.21162408085093e-11	0	0.019097550395082	0	0	TC>CA
4.65230907371266e-05	0.000133827904418343	0	0	0	0	0	0	0.00417064572072944	0.00146282711664607	0	0	0.00279609520681159	0.000621718896620311	0	TC>CG
0.00233059840976671	0.00510661923347963	0.0187259598150656	0	0	0.000734798404778849	0	0	0.0358382053873233	0.036284260613787	0.00634872515534745	0.0198455197870867	0.0768781281113177	0.0222455305528018	0	TC>CT
0.000147735120063475	0.00233222112748768	0.0835314030743369	0.0230144058550484	0	0	0	0	0.0241936389935853	0	0.00265519462870585	0	0	0	0	TC>GA
0.000523879090501075	0.00022949006166427	0.000184869842030931	0	0	0.000749859259335554	0	0.00379491373589402	0.00313217264470606	0.000636501879483892	0	0.00247816758198138	0	0	0	TC>GG
0.00659506840139093	0.00157789735667689	0.0494635451204432	0	0	0	0	0	0.0166806303672405	0.0935900769902519	0	0	0	0.0166627235941715	0	TC>GT
0.00151166106992755	0.00674177739837008	0.000246174228812554	0	0.0117264125096834	0.0184778189622561	0	0	0.017435734536815	0	0.0100130426798167	0.0205465198516635	0.00532220035545201	0.000581664336391702	0	TG>AA
0.00034381613568385	0.00135156891434059	0.000109675009520853	0	0	0.0020455768913872	0.00340709057692637	0	0.00581581271655383	0	0.00243624517295037	0	0	0	0	TG>AC
0.00333991109673459	0.0311001969359764	0.00158162203341612	0	0.0138771228533631	0.00289038835228882	0	0	0.0392815216282119	0	0.00515497152402534	0.00166593383377144	0.0169280528588788	0	0.0106552209655032	TG>AT
0	0.00152896648135808	0.00164353134780612	0	0	0.00459379104514242	0	0	0	0	0	0	0	0	0.940668866324356	TG>CA
0.00016835269108886	0.000918515364181269	0.000309624115659897	0	0	0	0	0	0.00786864773562837	0.0001453851009469	0.00271652964100977	0.00103049641728461	0.00750054323704721	0.00104034778230967	0	TG>CC
0.00264299065897075	0.0320771542058644	0.00715699535366915	0	0	0	0	0	0.0574413336300651	0	0	0.0206518361802106	0.0107728866287009	0	0.0245838162098123	TG>CT
0.000487279415758941	0.00240047989443029	0.000598005110323539	0.00951467977499825	0	0.00603017423029678	0	0	0.00613436261771223	0	0	0.00891853887374708	0.0158507346608562	0	0	TG>GA
0.000149167114878974	0.000950100655706506	0.000454311183764107	9.58794690473514e-13	0	0.0100088313195126	0.0042005872601141	0	0.00183194064377183	0	0	0.00272060375158732	0.00106229292871944	0	0	TG>GC
