"","Skin-Melanoma::SP124389","Skin-Melanoma::SP124362","Skin-Melanoma::SP124394","Skin-Melanoma::SP124334","Skin-Melanoma::SP124339","Skin-Melanoma::SP124454","Skin-Melanoma::SP124380","Skin-Melanoma::SP124273","Skin-Melanoma::SP124357","Skin-Melanoma::SP124399","Skin-Melanoma::SP124311","Skin-Melanoma::SP124355","Skin-Melanoma::SP124434","Skin-Melanoma::SP124428","Skin-Melanoma::SP124449","Skin-Melanoma::SP124298","Skin-Melanoma::SP124431","Skin-Melanoma::SP124396","Skin-Melanoma::SP124409","Skin-Melanoma::SP124341","Skin-Melanoma::SP124353","Skin-Melanoma::SP124278","Skin-Melanoma::SP124376","Skin-Melanoma::SP124346","Skin-Melanoma::SP124439","Skin-Melanoma::SP124351","Skin-Melanoma::SP124406","Skin-Melanoma::SP124323","Skin-Melanoma::SP124391","Skin-Melanoma::SP124423","Skin-Melanoma::SP124382","Skin-Melanoma::SP124415","Skin-Melanoma::SP124436","Skin-Melanoma::SP124460","Skin-Melanoma::SP124425","Skin-Melanoma::SP124456","Skin-Melanoma::SP124367","Skin-Melanoma::SP124281","Skin-Melanoma::SP124377","Skin-Melanoma::SP124412","Skin-Melanoma::SP124333","Skin-Melanoma::SP124359","Skin-Melanoma::SP124286","Skin-Melanoma::SP124329","Skin-Melanoma::SP124326","Skin-Melanoma::SP124458","Skin-Melanoma::SP124401","Skin-Melanoma::SP124264","Skin-Melanoma::SP124384","Skin-Melanoma::SP124403","Skin-Melanoma::SP124462","Skin-Melanoma::SP124271","Skin-Melanoma::SP124336","Skin-Melanoma::SP124452","Skin-Melanoma::SP124386","Skin-Melanoma::SP124441","Skin-Melanoma::SP124418","Skin-Melanoma::SP124291","Skin-Melanoma::SP124319","Skin-Melanoma::SP124305","Skin-Melanoma::SP124447","Skin-Melanoma::SP124344","Skin-Melanoma::SP124369","Skin-Melanoma::SP124348","Skin-Melanoma::SP124295","Skin-Melanoma::SP124444","Skin-Melanoma::SP124365","Skin-Melanoma::SP124420","Skin-Melanoma::SP124364","Skin-Melanoma::SP124307","Skin-Melanoma::SP82445","Skin-Melanoma::SP83242","Skin-Melanoma::SP103894","Skin-Melanoma::SP83382","Skin-Melanoma::SP82451","Skin-Melanoma::SP104330","Skin-Melanoma::SP83312","Skin-Melanoma::SP82614","Skin-Melanoma::SP82431","Skin-Melanoma::SP82459","Skin-Melanoma::SP113197","Skin-Melanoma::SP82532","Skin-Melanoma::SP82636","Skin-Melanoma::SP82796","Skin-Melanoma::SP83482","Skin-Melanoma::SP104530","Skin-Melanoma::SP82429","Skin-Melanoma::SP82644","Skin-Melanoma::SP82988","Skin-Melanoma::SP82461","Skin-Melanoma::SP82900","Skin-Melanoma::SP82399","Skin-Melanoma::SP82756","Skin-Melanoma::SP82836","Skin-Melanoma::SP82417","Skin-Melanoma::SP82471","Skin-Melanoma::SP82435","Skin-Melanoma::SP104056","Skin-Melanoma::SP83083","Skin-Melanoma::SP82433","Skin-Melanoma::SP82780","Skin-Melanoma::SP83019","Skin-Melanoma::SP83099","Skin-Melanoma::SP83146","Skin-Melanoma::SP103866","Skin-Melanoma::SP83844","Skin-Melanoma::SP83027"
"BI_COMPOSITE_SBS9_P",98.44410546,198.0518181,164.5367575,1049.530326,147.5009544,144.6154007,1007.864122,268.8886566,330.5728681,472.40689,1949.382099,99.97137392,148.1166276,4.91e-241,683.9490317,368.4913511,262.7906339,237.7526551,837.3751669,1367.309388,3.72300203029796e-318,146.4102156,50.65339806,212.9448675,787.2400372,7.12e-207,165.7547245,29.34616069,184.3191657,194.0966165,1565.172297,1051.783923,2229.571187,560.8602185,900.547342,860.2835186,886.9787576,0,441.0610255,224.9744466,122.2132504,362.6404869,24.658301,200.5348669,136.312963,249.1125791,890.0161395,465.1495201,257.0881626,133.0630092,402.0208887,471.4521272,866.7154303,408.4176989,328.2974513,275.3245029,617.15676,215.7379818,5.34e-64,296.794229,2337.240622,400.5359671,277.7455954,52.69406851,278.9450861,86.58932024,467.605446,223.8139406,519.9076676,566.6389138,0,260.4991577,1293.836388,50.37377963,446.7372382,19.73371421,227.6137174,211.8091179,1780.853056,503.3505982,89.40535424,272.572573,206.1577241,673.3534015,435.8741389,815.8053737,217.643419,434.918033,555.7810679,318.3596233,686.8078471,632.6608741,200.1019008,508.0594903,4.42e-75,617.8018527,139.8810508,1114.494112,421.1011586,142.9048832,326.213676,321.9424893,132.6130493,333.7834153,320.504922,251.6008958,263.1299654
"BI_COMPOSITE_SBS10a_S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BI_COMPOSITE_SBS11_S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BI_COMPOSITE_SBS12_P",576.01458,1097.146439,923.3763901,1452.390271,368.0193946,841.1348814,1126.414646,825.0018638,712.6104918,988.8807307,1725.667715,422.4301626,738.1061023,1589.402334,1378.671226,3477.561513,1263.256457,848.3729072,1739.307122,2465.730953,393.0978903,508.2352111,513.3788772,1403.945616,657.7182521,296.4594062,616.9244567,360.7768886,505.0475669,388.2626576,2895.959775,755.8788806,3325.43302,593.1560154,1148.220216,292.9073563,1771.850328,230.2221381,815.9611488,1295.760741,946.1601995,954.899908,171.5811766,481.5490469,836.3893476,757.4076566,2201.693877,1606.976751,4800.452068,272.7764257,1189.959092,1599.000634,967.0425795,1012.454625,1135.517049,1170.118978,983.1425046,513.3936228,668.7290151,938.6722289,2582.447109,701.3714284,1395.349468,322.6582816,1280.114337,481.8544906,1740.992076,981.115269,1040.095762,866.0066595,1165.039491,1041.721436,2196.455588,533.2922006,1295.925503,197.9185267,640.829526,557.1346281,920.865185,1436.342296,754.9072043,2010.652023,1206.604246,620.1325214,705.7172842,2160.897025,688.247701,1351.672946,976.4702245,974.0298448,1669.193877,1103.266917,212.8166363,1071.465598,1440.86358,1426.237688,399.3631575,3922.753673,853.5412384,951.5710754,736.4835732,1067.076439,622.5437284,1771.92215,682.168089,817.5059646,998.9379541
"BI_COMPOSITE_SBS13_P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BI_COMPOSITE_SBS14_S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BI_COMPOSITE_SBS15_S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BI_COMPOSITE_SBS16_P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BI_COMPOSITE_SBS17a_P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BI_COMPOSITE_SBS17b_P",47.85161197,74.99848825,79.92680732,567.3476283,28.14733211,154.5060976,171.8725403,49.39658403,78.57593706,24.31714702,24.21644946,37.9015428,37.7158039,76.58347463,21.52259638,44.84800891,29.69357963,49.02698125,51.63634817,374.6907173,17.82321025,61.55579987,0,13.18003408,269.3393991,24.02162731,1756.652026,35.60876371,46.99994068,71.71585169,250.0135105,646.747819,51.65424299,1297.106773,329.3647027,21.01562305,7807.930978,16.70071396,46.60515532,65.73197522,30.74353339,71.55088642,22.70116873,3.26083326255223e-322,83.00391668,120.1283137,289.0162764,168.7864044,141.1911006,12.87226533,47.97084376,269.1483657,80.29229229,19.48641148,78.91510559,190.3428385,60.58570692,132.1368298,68.44822468,69.46177352,404.1237389,115.2702554,21.70072736,33.92369851,6286.454586,198.8256721,253.7012242,36.62594568,66.64102313,33.7736512,305.4568748,41.62950073,180.0409424,28.53627998,26.07142377,9.646718508,125.6637008,95.73814771,1005.547918,18.92507072,73.46291564,497.639712,455.6536964,118.1490712,157.105991,97.42231981,87.22515128,233.4516768,28.82373872,200.2417344,610.6932808,202.7418271,9.88131291682493e-324,47.65226984,23.47735201,25.5439953,183.3924916,153.3469602,21.53003887,43.71573735,13.37206447,150.9826275,42.96910932,245.8227212,202.2134796,49.82268377,78.75655859
