BI_COMPOSITE_SNV_SBS1_P	BI_COMPOSITE_SNV_SBS2_P	BI_COMPOSITE_SNV_SBS3_P	BI_COMPOSITE_SNV_SBS4_P	BI_COMPOSITE_SNV_SBS5_P	BI_COMPOSITE_SNV_SBS6_S	BI_COMPOSITE_SNV_SBS7a_S	BI_COMPOSITE_SNV_SBS7b_S	BI_COMPOSITE_SNV_SBS7c_S	BI_COMPOSITE_SNV_SBS8_P	BI_COMPOSITE_SNV_SBS9_P	BI_COMPOSITE_SNV_SBS10a_S	BI_COMPOSITE_SNV_SBS11_S	BI_COMPOSITE_SNV_SBS12_P	BI_COMPOSITE_SNV_SBS13_P	BI_COMPOSITE_SNV_SBS14_S	BI_COMPOSITE_SNV_SBS15_S	BI_COMPOSITE_SNV_SBS16_P	BI_COMPOSITE_SNV_SBS17a_P	BI_COMPOSITE_SNV_SBS17b_P	BI_COMPOSITE_SNV_SBS18_P	BI_COMPOSITE_SNV_SBS19_P	BI_COMPOSITE_SNV_SBS21_S	BI_COMPOSITE_SNV_SBS22_P	BI_COMPOSITE_SNV_SBS26_S	BI_COMPOSITE_SNV_SBS28_P	BI_COMPOSITE_SNV_SBS30_P	BI_COMPOSITE_SNV_SBS33_P	BI_COMPOSITE_SNV_SBS35_P	BI_COMPOSITE_SNV_SBS36_P	BI_COMPOSITE_SNV_SBS37_P	BI_COMPOSITE_SNV_SBS38_S	BI_COMPOSITE_SNV_SBS39_P	BI_COMPOSITE_SNV_SBS40_P	BI_COMPOSITE_SNV_SBS60_P	BI_COMPOSITE_SNV_SBS55_S	BI_COMPOSITE_SNV_SBS44_S	BI_COMPOSITE_SNV_SBS61_S	BI_COMPOSITE_SNV_SBS62_S	BI_COMPOSITE_SNV_SBS63_S	BI_COMPOSITE_SNV_SBS64_P	BI_COMPOSITE_SNV_SBS65_S	BI_COMPOSITE_SNV_SBS66_S	BI_COMPOSITE_SNV_SBS67_S	BI_COMPOSITE_SNV_SBS68_P	BI_COMPOSITE_SNV_SBS69_P	BI_COMPOSITE_SNV_SBS70_P	BI_COMPOSITE_SNV_SBS71_P	BI_COMPOSITE_SNV_SBS72_P	BI_COMPOSITE_SNV_SBS73_S	BI_COMPOSITE_SNV_SBS74_S	BI_COMPOSITE_SNV_SBS75_S	BI_COMPOSITE_SNV_SBS76_S	BI_COMPOSITE_SNV_SBS77_P	BI_COMPOSITE_SNV_SBS78_S	BI_COMPOSITE_SNV_SBS79_S	BI_COMPOSITE_SNV_SBS80_P	BI_COMPOSITE_SNV_SBS81_P	BI_COMPOSITE_SNV_SBS82_P	BI_COMPOSITE_SNV_SBS83_P	feature
0.003330167	0.00018964	0	0.003326019	0.005540122	1.03E-105	5.87E-05	0.00013258	0.000717665	0.015033015	0.001207818	0.000333688	0.000133792	0.00121756	5.97E-05	3.21E-05	3.22E-05	0.002894709	0.000488074	0.000617242	0.018362685	0.001766383	0	0.00056813	0.000115	7.70E-05	6.00E-09	0	0	0.003164029	0.001584016	9.78E-05	0.001235674	0.007935421	0	0	0	0.000167286	0.000289823	0.000386807	0.001787929	0.000218993	5.28E-05	0.000227472	0	0.003021551	0.00722466	1.13E-17	0	5.60E-05	0.000428371	5.95E-222	0.001476574	0.000237099	6.35E-05	0.000144917	0.006770508	0	0	0	C>A_at_AACAA
0.000339206	1.73E-05	0.00122577	0.00226462	0.00190405	0.000152615	2.90E-06	7.73E-05	0.000178189	0.002289873	8.97E-05	4.01E-05	4.03E-05	0.000291638	6.43E-06	4.09E-05	2.86E-05	0.000633582	0.000226553	9.03E-05	0.003355574	0	8.50E-05	0.000270238	0.000323051	4.79E-05	6.44E-09	0	0	0.00118753	0.001805063	0.000130848	0.000736818	0.003492455	0	7.28E-295	7.46E-05	1.83E-05	3.06E-05	0.000104833	0.000404155	0.000109874	0	0.000139381	0.000352464	0.001223748	0.001625936	0.000295494	0	8.45E-05	0.000103377	1.71E-05	0.001271285	0.0008608	0	0	5.20E-05	0	0.011864947	0	C>A_at_AACAC
0.000356231	4.51E-05	0	0.003342541	0.003121493	8.93E-238	2.33E-05	0.000147454	0.000167188	0.003075213	0.000346276	2.53E-05	6.44E-05	0.000273253	1.98E-05	6.32E-06	1.91E-05	0.000760968	0.000828965	0.000161848	0.008106734	0	0.000252557	0.000230157	0.000217315	0	0	2.57E-24	0	0.001434502	0.001316419	0.00066515	0.000125384	0.002889063	0	2.46E-194	8.21E-05	1.41E-05	2.09E-05	6.25E-05	0.000697363	0.000147499	3.49E-05	0.000123658	0.000122677	0.001614131	0.002060565	4.27E-13	0.000224937	1.56E-05	0.000164377	0	0.000456418	0.000205816	0	0	0	0.003583415	0	0	C>A_at_AACAG
0.000499843	0.000152018	0.000797651	0.003296236	0.003422889	1.61E-157	8.69E-48	0.000144051	0.000417832	0.004087754	0.001126711	0.000242386	6.58E-05	0.000507558	0	6.89E-05	3.09E-05	0.000651783	0.000548875	7.76E-05	0.008075519	0	0.000119641	0.000306409	0.000158359	0.000251462	0	0	0	0.002989945	0.000912312	0.000744289	0.000445696	0.003066085	0	0.000933913	0.000133995	0.000118216	5.17E-05	0.000322155	0.000401477	0.000132247	5.27E-05	0.000212568	1.76E-05	0.001480567	0.002013089	0	6.81E-05	0.000195729	7.52E-05	7.24E-05	0.000994489	0.001470745	8.36E-05	0	0.004585832	0	0.004254606	0	C>A_at_AACAT
0.001526642	0.000171408	0.003031105	0.00299382	0.001709337	2.78E-123	2.65E-05	4.34E-05	0	0.005955371	0.003318919	0.003632909	0.000100927	0.000699619	0	0.001413442	5.76E-05	0.000968797	0.000611876	7.55E-05	0.002719818	0.000147538	8.47E-05	9.27E-06	0.000158469	1.83E-05	0.001921517	1.74E-32	0.000818138	0.001340253	0	0.000935236	0.000537228	0.000701982	0	1.81E-87	0.00028142	0.001028964	0.0021263	0.001066229	0.008045182	1.45E-287	3.23E-192	0.000179919	0.000381875	0.000844132	0.003970838	0	0.000598281	0.000157478	5.93E-05	0.000470681	0.000497041	3.86E-19	0.004215104	0.000377113	0.000600711	4.24E-08	0	0	C>A_at_AACCA
0.001167855	0.000138963	0.005056679	0.001599401	0.00035667	0.000985973	3.23E-05	7.03E-05	6.08E-154	0.004470731	0.000775765	0.000278225	2.59E-05	0.00058	0	0.000568595	3.18E-05	0	0.000414349	0.000117697	0.001996012	0	0.000858402	0.000208626	0.000248292	0	0.002597614	0	0.011674201	0.000577257	0.000270882	0.000870265	0.00054303	9.01E-05	0	2.09E-148	9.03E-296	4.27E-05	0.000229158	0.000187523	0.006703296	1.37E-05	0.000120814	0.000141639	0.001343752	0.001325717	6.46E-07	0.000287694	5.38E-08	0.000359292	0.000636287	0.000242838	0.002265685	0.000153416	0.000281488	8.78E-177	0	0	0	0	C>A_at_AACCC
0.000130042	4.62E-06	0.000379646	0.000368664	8.62E-05	0	5.53E-06	0	0	0.000204629	0.000173152	9.73E-05	7.09E-07	6.74E-05	0	7.09E-05	1.54E-05	0	3.78E-05	2.05E-05	0.000104763	0	3.49E-05	0	7.48E-06	1.12E-05	0.000286545	0	0	7.06E-05	0	0.000157321	8.94E-05	0.000196846	0	2.44E-112	0	1.95E-05	5.29E-05	7.33E-05	0.000612922	4.81E-06	0	0	7.81E-06	0	0	0	0	4.32E-05	7.78E-06	0	0.000141076	2.46E-05	0.000176412	0	0	0	0	0	C>A_at_AACCG
0.001167812	0.000198227	0.003429932	0.002296919	0.000901755	0.000103044	1.44E-05	3.60E-05	2.43E-05	0.010330991	0.000999704	0.000391131	0.0001424	0.000422626	0	0.000461387	1.87E-05	0	0.000428976	0.000124567	0.001418881	8.61E-05	8.44E-05	6.98E-05	0.000191603	0	0.000837341	0	0.01614669	0.000581617	0.000174322	0.000217137	0.001483471	3.85E-05	0	0	0	0.000114247	0.000276192	0.000471243	0.002662351	6.92E-05	4.00E-05	0.000106328	0.000637346	0.000785992	0.00439152	0.001033233	0.000113079	0.000140983	0.000237865	0.000177774	0.000565425	0	0.000674677	4.88E-05	0	0	0	0	C>A_at_AACCT
0.000125956	0	0	0.000489029	0.000542119	0	6.55E-06	0	3.43E-05	0.00049767	0	1.16E-05	3.32E-06	0.000113157	1.40E-05	8.93E-06	0	0.000139723	0	3.64E-05	0.000674098	0	2.00E-05	0	1.47E-05	2.03E-05	3.96E-05	0.000392942	0	0.000130379	0.00064284	0	0.000100225	0.000294303	0	0	0	7.53E-06	2.16E-06	2.39E-05	8.13E-05	0	2.33E-207	8.77E-06	0	0.000135835	0.000240356	0	0	1.85E-05	4.36E-05	2.40E-06	0.000204724	0	0	0	5.86E-05	0	0	0	C>A_at_AACGA
9.95E-05	0	0	0.000471262	0.000590223	0	0	6.85E-06	1.55E-05	5.99E-05	6.51E-05	1.48E-05	1.32E-05	0	0	2.57E-06	2.84E-06	0	4.88E-05	0	4.59E-05	0	2.61E-05	0	1.44E-05	3.10E-05	0	0	0.000137491	5.88E-05	0.000451198	0	1.00E-05	7.40E-05	0	0	0	0	2.87E-06	1.01E-05	0.000102852	0	0	1.93E-05	9.18E-05	9.64E-05	0.000503067	0	0	0	4.53E-06	2.01E-141	1.24E-05	0	4.69E-06	0	0	0	0	0	C>A_at_AACGC
