BI_COMPOSITE_DNP_SBS1_P	BI_COMPOSITE_DNP_SBS2_P	BI_COMPOSITE_DNP_SBS3_P	BI_COMPOSITE_DNP_SBS4_P	BI_COMPOSITE_DNP_SBS5_P	BI_COMPOSITE_DNP_SBS6_S	BI_COMPOSITE_DNP_SBS7a_S	BI_COMPOSITE_DNP_SBS7b_S	BI_COMPOSITE_DNP_SBS7c_S	BI_COMPOSITE_DNP_SBS8_P	BI_COMPOSITE_DNP_SBS9_P	BI_COMPOSITE_DNP_SBS10a_S	BI_COMPOSITE_DNP_SBS11_S	BI_COMPOSITE_DNP_SBS12_P	BI_COMPOSITE_DNP_SBS13_P	BI_COMPOSITE_DNP_SBS14_S	BI_COMPOSITE_DNP_SBS15_S	BI_COMPOSITE_DNP_SBS16_P	BI_COMPOSITE_DNP_SBS17a_P	BI_COMPOSITE_DNP_SBS17b_P	BI_COMPOSITE_DNP_SBS18_P	BI_COMPOSITE_DNP_SBS19_P	BI_COMPOSITE_DNP_SBS21_S	BI_COMPOSITE_DNP_SBS22_P	BI_COMPOSITE_DNP_SBS26_S	BI_COMPOSITE_DNP_SBS28_P	BI_COMPOSITE_DNP_SBS30_P	BI_COMPOSITE_DNP_SBS33_P	BI_COMPOSITE_DNP_SBS35_P	BI_COMPOSITE_DNP_SBS36_P	BI_COMPOSITE_DNP_SBS37_P	BI_COMPOSITE_DNP_SBS38_S	BI_COMPOSITE_DNP_SBS39_P	BI_COMPOSITE_DNP_SBS40_P	BI_COMPOSITE_DNP_SBS60_P	BI_COMPOSITE_DNP_SBS55_S	BI_COMPOSITE_DNP_SBS44_S	BI_COMPOSITE_DNP_SBS61_S	BI_COMPOSITE_DNP_SBS62_S	BI_COMPOSITE_DNP_SBS63_S	BI_COMPOSITE_DNP_SBS64_P	BI_COMPOSITE_DNP_SBS65_S	BI_COMPOSITE_DNP_SBS66_S	BI_COMPOSITE_DNP_SBS67_S	BI_COMPOSITE_DNP_SBS68_P	BI_COMPOSITE_DNP_SBS69_P	BI_COMPOSITE_DNP_SBS70_P	BI_COMPOSITE_DNP_SBS71_P	BI_COMPOSITE_DNP_SBS72_P	BI_COMPOSITE_DNP_SBS73_S	BI_COMPOSITE_DNP_SBS74_S	BI_COMPOSITE_DNP_SBS75_S	BI_COMPOSITE_DNP_SBS76_S	BI_COMPOSITE_DNP_SBS77_P	BI_COMPOSITE_DNP_SBS78_S	BI_COMPOSITE_DNP_SBS79_S	BI_COMPOSITE_DNP_SBS80_P	BI_COMPOSITE_DNP_SBS81_P	BI_COMPOSITE_DNP_SBS82_P	BI_COMPOSITE_DNP_SBS83_P	feature
0	0	0.002537772	4.51e-05	0	0	0.000900347	0.000323723	0.001472134	0	0.017309923	0	0	0	0	0	0	0	0	0.005492371	0	0	0	0	0.022174487	0.002618858	0	0	0	0.006222775	0.021912127	2.96439387504748e-323	0	0.001471332	NA	0.013266708	0.000633123	0	0	0.016404935	0	0.000235905	0	0.000213863	0	0	0.034480555	0	0	9.88131291682493e-324	0	0	0.002070188	0	0	4.94065645841247e-324	0.00385139	6.49e-16	0	0	AT>CC
0	0.002889336	0.0001359	0	0	0	1.22e-186	0	0.000541732	0	0.00627554	0	0.006440124	0.002980445	0	0	0	0	0	0.014383458	0.001123085	0	0	0	0	0.005941511	0	0	0	0	0	4.94065645841247e-324	0	0.00050042	NA	0	0	0.012638352	0	0.011277282	0	0.0001023	0.004971425	0	0	0	0	0	0	0	0	0.000148677	0	0	0	0	0	0	0	0	AT>CG
0	0	0.004631725	0.000406477	0.000656356	0.012843485	0.003938363	0.002161758	0.004723582	0	0.037739453	0	0.007496713	0	0	0.008418919	4.94065645841247e-324	0	0	0	0	0	4.94065645841247e-324	0.001112676	4.94065645841247e-324	0	0	0	0.001151566	0.028108496	0.014444979	1.48219693752374e-323	0.002836044	0.004134849	NA	4.4e-301	0	0	0	0.00457315	0.111246486	0.001899768	0	0.00343937	0	0	0	0	0.00923221	0.034829937	0	2.44e-203	0.026732787	0	0	4.44659081257122e-323	0.000835107	0	0.118566327	0	AT>GA
0	0	0	0	0	0.006218853	0.000374754	3.43e-05	0.000424565	0	0.023968319	0	0	0.002232532	0	0.002348754	0.001858195	0	0	0.000284947	0	0	0.008779903	0	0.011056293	0	0	0.028612757	0.000321511	0	0.016123052	2.47032822920623e-323	0	0	NA	0.016612487	1.97626258336499e-323	0	4.94065645841247e-324	0.011416021	0	0.000410022	4.94065645841247e-324	0.000830526	0	0	0.00061108	0	0	0.040206195	0	0.000713966	0.010132432	0	0.012714366	0.011356616	0.024980025	0	0	0	AT>GC
2.29e-07	0.011414668	0.005348208	0.003255263	0.000317678	0.045141681	0.005505197	0.002518798	0.005158955	0.083855915	0.028373306	0.100420943	0	0	0.001125987	0.004885341	0.026720297	0.001736128	0.005079063	0.010188548	0.078178519	0	0.102179543	0.002052201	8.19e-213	0.00644335	0	0	0	0	0	2.47032822920623e-323	0.00553759	0.008102079	NA	4.94065645841247e-324	0.040107825	0.001411825	0.000804444	0.002351709	0.214499261	0.002866157	0.007917864	0.002538287	0.048524371	0	0	0	0.043344229	0.010149073	3.38e-27	0.0020557	0.12470915	0	4.94065645841247e-324	0.043486136	0	0	0.099499416	0	AT>TA
0	0	0.136585333	0.357500867	0.650302064	0.013786857	0.002084139	0.001162926	0.011315273	0	0	0.094901733	0.23024922	0	0	0.022870711	4.94065645841247e-324	0	0	0.027691103	0	0	1.48219693752374e-323	0	0.004880377	0.005274045	0	0	0.138033031	0	0	1.48219693752374e-323	0	0	NA	1.48219693752374e-323	9.88131291682493e-324	0.013855383	4.94065645841247e-324	0.015292112	0	0.000654325	0.022350207	4.32e-93	0	0	0	0	0	0.089245051	0	0.003772664	0.005504307	0	0.031512417	0.06318937	0	0	0	0	CC>AA
0	0	0.068477784	0.031207961	0.079738245	9.88131291682493e-324	4.38e-92	0.000384102	0.004094592	0.012558465	0.005945212	0.072216929	0.04642593	0	0	0	0	0	0	0.012133696	0	0	0.003091003	0.004549427	0	0.008244186	0	0	0.04393295	0.092910393	0	4.94065645841247e-324	0.040224866	0.009326342	NA	4.94065645841247e-324	0.002921828	0.000164155	0.000104085	0	0	0.000855312	0	0	0	0	0	0.0245797	0.013867722	0.010834873	0	0.001715066	0	0	0	0.001615874	0	0	0.222537049	0	CC>AG
0	0.025443393	0.064257581	0.024532824	0.11459694	4.94065645841247e-324	0.063456469	0.025272026	0.150619502	0.000122078	0	2.96439387504748e-323	0.042258546	0.154757061	0.063360753	0.072399858	0.013156287	0	0	0.012497468	0.054185773	0	4.94065645841247e-324	0.030868583	1.97626258336499e-323	0	0	0	0.035779406	0	0	3.95252516672997e-323	0.059627563	0.048604392	NA	4.94065645841247e-324	0	0	4.94065645841247e-324	0.016057049	0	0.024668613	2.03e-168	3.5700294250326e-318	0	0.017981808	0	0.030176961	0	4.94065645841247e-324	0	0.024848834	4.94065645841247e-324	0.011933637	0.032589099	4.94065645841247e-324	0.004558613	0	0.079471095	0	CC>AT
0	0.005330853	0.017658688	0.005941198	0.023518459	0	2.62e-80	0.000442494	0.001405304	0	0.000339203	0.049700563	0	0	0	0.001905432	0	0	0	0.005987206	0.046466444	0	0.001754954	0	4.94065645841247e-324	0	0	0.08137601	0.004285714	0	0	1.48219693752374e-323	0.028610021	0.005643671	NA	0	0.002990672	0	0	0	0.033059144	0.000313745	0.009353806	0	0	0	0	0.001158417	0	0.005401004	0	0.001791795	0	0	0.004043419	4.94065645841247e-324	0	0	0.127771835	0	CC>GA
0	0	0.009182917	0.002925207	0.001917664	0	0	0.000497219	1.23e-282	0	0.004460434	0	0.005875297	0	0	0	0	0	0	0.003127514	0	0	4.94065645841247e-324	0.000905296	0	0	0	0	0.00029793	0	0	0	0.007335557	0.002070174	NA	4.94065645841247e-324	0	0	0	0.000237426	0	0.000322746	0	0	0	0	0	0.007872804	0.012142521	0.011636569	0	0	0	0	0	0	0.029943092	0	0.112126343	0	CC>GG
